TEMP	CSUSC
691.8	-3.393
690.7	-2.971
688.8	-2.168
685.7	-4.317
682.4	-3.433
679	-3.664
675.5	-4.367
671.8	-2.931
668	-3.072
664.3	-2.51
660.6	-4.306
656.6	-3.413
653	-3.524
649	-4.136
645.2	-3.734
641.6	-3.323
637.8	-2.861
633.9	-2.138
630.1	-1.636
626.3	-1.094
622.8	0.4
619.7	2.28
615.8	5.04
612.2	8.93
608.6	11.61
604.9	15.82
600.8	20.25
597.1	25.16
593	30.44
588.8	36.67
585	42.25
580.9	49.3
576.8	55.41
572.8	61.09
568.6	67.82
564.3	73.83
560.1	80.19
556.2	85.13
551.7	91.21
547.3	96.57
543.2	101.21
538.7	107.26
534.5	113.38
529.9	118.49
525.8	123.76
521	129.41
516.4	134.76
512.1	140.07
507.5	146
503	151.27
498.2	156.56
494	161.43
489.2	167.08
484.6	171.51
479.8	175.8
475.2	180.3
470.3	184.39
465.7	188.56
460.8	193.65
456.2	197.32
451.3	201.36
446.4	203.29
441.3	208.03
436.7	209.98
431.6	213.06
426.6	216.73
421.6	218.93
416.6	221.56
411.5	224.08
406.7	227.25
401.6	228.47
396.7	229
391.6	232.29
386.4	233.72
381.2	234.57
376.2	236.5
371	237.28
366	239.4
360.4	240.62
355.4	241.96
350.2	241.7
344.8	242.28
339.7	243.07
334.3	243.72
328.9	244.82
323.8	245.34
318.7	245.73
313	247.03
308	246.56
302.6	246.99
297.3	246.46
292.2	247.16
286.8	247.55
281.6	247.63
276.2	247.8
271	248.53
266	248.44
260.6	248.06
255.5	248.06
250.1	247.87
245	248.12
240	246.92
234.5	247.31
229.5	247.78
224.1	246.78
219.1	246.01
214.2	246.43
209	245.61
204	246.05
199.2	245.92
193.9	246.02
189	245.74
184.3	244.37
179.2	245.06
174.3	244.75
169.4	244.72
164.3	244.25
159.5	244.29
154.8	243.13
150.1	243.55
145.5	243.62
140.5	243.44
135.8	243.7
131.3	242.22
126.9	241.35
122.5	241.37
118	241.12
113.5	239.71
109.2	240.35
105	239.29
100.8	238.94
96.6	238.81
92.6	237.95
88.8	237.89
84.7	237.85
81.1	237.37
77.3	236.06
73.7	235.93
70.3	235.06
66.8	234.55
63.7	233.81
60.5	233.21
57.6	233.38
54.7	232.46
51.8	231.18
49.2	231.07
46.6	230.86
43.9	230.16
41.2	229.56
39.1	228.56
