TEMP	CSUSC
27.2	227.78
32.8	229.98
39.6	233.16
46.8	235.14
53	238.21
58.6	238.81
63.9	240.36
68.6	242.22
73.2	243.13
77.7	244.32
82.1	245.2
86.3	245.49
90.5	246.84
94.9	247.08
99.2	248.1
103.6	249.28
107.9	249.22
112.2	250.3
116.7	250.66
120.9	251.42
125.4	250.64
129.9	252.36
134.2	251.87
138.7	252.57
143.3	252.66
147.8	253.59
152.5	253.29
157.3	254.03
162	255.24
166.9	254.78
171.6	254.74
176.7	255.29
181.3	255.74
186.2	255.61
191.1	255.67
196	256.24
200.8	257.37
205.7	256.71
210.7	257.59
215.8	257.24
220.6	258.15
225.4	258.01
230.2	258.9
235	259.06
240.1	258.92
245	259.75
249.7	259.51
254.6	259.02
259.2	260.11
264.1	259.71
269.2	258.49
273.9	259.45
278.8	259.11
283.6	258.51
288.3	257.5
293.2	257.72
298.1	258.29
302.9	257.5
307.7	256.26
312.6	256.06
317.1	255.27
322.2	254.48
326.9	254.26
331.6	253.64
336.1	252.98
341	252.38
345.8	251.19
350.6	250.35
355.2	250.3
360.1	248.18
364.7	246.37
369.3	244.85
374.2	243.18
378.5	241.76
383.1	239.48
387.7	238.81
392.1	236.06
396.7	235
401.3	232.87
406	230.74
410.7	227.36
415.2	226.44
419.7	222.95
424.7	219.29
429.4	217.64
434.4	213.34
439.1	211.49
443.9	207.78
448.8	203.7
453.8	199.44
459	195.5
464	190.96
469.1	187.85
474.3	183.73
478.9	178.04
483.7	174.3
488.8	169.6
493.6	164.17
498.2	158.6
502.9	154.94
508.1	148.89
513	142.76
518.1	136.79
523.2	131.92
528.4	126.23
533.3	121.23
538.1	115.98
543	110.6
548	105.33
553.1	101.15
558	94.53
562.9	89.22
568	83.19
573.2	75.68
578	69.59
583.3	62.24
588.1	53.57
593.5	45.34
598.8	36.83
604.1	27.63
609.2	19.34
614.5	13.11
619.7	8.14
624.7	3.42
629.8	0.12
634.8	-1.686
639.7	-2.751
644.4	-3.383
649.5	-3.303
654.6	-3.363
659.2	-2.58
663.8	-3.734
668.6	-3.764
673.2	-3.433
677.5	-3.333
682.2	-2.63
686.5	-4.035
688.9	-3.242
690.2	-3.594
690.9	-3.694
691.7	-3.995
	
	
	
	
	
	
	
	
	
