TEMP	CSUSC
28.9	94.5
34.2	93.1
41.7	92.9
48.7	93.7
55.1	93.7
61.1	92.4
66.2	92.2
71	91.9
75.6	90.1
80.3	90
84.6	89.7
89.1	90.1
93.3	90.5
97.8	89
102.1	87.7
106.7	87.8
111	86.9
115.5	86.1
119.8	86
124.4	84.6
128.9	84
133.9	83.5
138.7	82.9
143.5	81.3
148.6	81.8
153.3	80.2
158	77.6
162.8	76.9
168	75.8
172.9	75.2
178.3	73.9
183.6	71.8
188.6	70.4
193.6	68
199.2	66.5
204.2	65.6
209.3	63.3
214.6	61.5
219.5	59.2
224.2	57.2
229.3	55.6
234.4	55
239.7	51
244.8	49
249.5	46.7
254.5	44.9
259.2	42.5
264.3	41.3
269.2	39.4
274.4	37.6
279.5	35.8
284.5	35.4
289.6	32.5
294.3	32
299.1	31
304.2	30.1
309.1	29.2
313.9	28.2
319	26.6
323.6	26.1
328.5	24.2
333.4	23.9
338.3	22.6
342.9	22
347.7	21.8
352.5	21.3
357.2	20.7
362	19.6
366.7	19.4
371.4	18.7
376	17.3
380.6	17.3
385.4	17.7
389.7	16.4
394.5	16.1
399	16.2
404	15.8
408.6	14.5
413.1	14.2
418.1	13.6
422.8	13.7
427.8	12.8
432.4	12.8
437.1	11.8
441.9	11.9
446.7	11.4
451.3	11.1
456	10.9
460.9	10.7
466.1	10.5
470.6	9.7
475.3	9
480.5	9.4
485.6	8.2
490.9	7.9
496	7.5
500.8	8
505.6	7.2
510.4	6.6
515.4	6.4
520.1	5.3
524.9	5.6
529.6	5.2
534.5	4.4
538.9	4.2
543.8	3.6
548.7	3.6
553.6	3.3
558.3	3.2
563.2	3
568.1	3
572.9	2.3
577.8	2.6
582.8	1.5
587.4	2.1
592.2	1.8
597.2	2.1
601.9	1
606.9	0.6
611.6	0.4
615.8	0.9
620.8	0.7
626.5	0.7
631.5	0.7
636.5	0.6
641.4	0
646.5	1.2
651.2	0.6
656	1
660.9	0.1
665.6	0.1
670	-0.707
674.8	0.8
679	-0.606
684	0
688.3	0.1
690.4	-0.202
692.2	0.8
693.4	0.1
694.1	-0.303
	
	
	
	
	
	
	
	
	
